0
Amateur microscopist
Principal investigator
Principal investigator
RA
Research Assistant
Research associate
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Research scientist
Senior flow cytometry specialist
Software Engineer
Software Service Provider
Software developer (supporting pathologists)
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
Undergraduate/Graduate student
bioinformatician
consultant
image core manager (occasionally do image analyst tasks)
research scientist and image analyst
technical staff
